param : 	c_inv	c_maint	gwp_constr	lifetime	c_p	fmin_perc	fmax_perc	f_min	f_max := 
SA-BN	NUCLEAR	4845.734619	102.930986	707.88	60	0.843906	0.0	1.0	0.0	0.0
SA-BN	NUCLEAR_SMR	4845.734619	102.930986	707.88	60	0.843906	0.0	1.0	0.0	0.0
SA-BN	CCGT_AMMONIA	1217.490356	18.26220742	183.79	30	0.9615	0.0	1.0	0.0	0.0
SA-BN	COAL_US	2516.71	30.0225445	331.6	35	0.865396	0.0	1.0	0.0	0.0
SA-BN	COAL_IGCC	3245.81	49.47283735	331.6	35	0.853432	0.0	1.0	0.0	0.0
SA-BN	BIOMASS_TO_POWER	1677.0152	69.9431	331.6	35	0.868	0.0	1.0	0.0	0.0
SA-BN	PV_ROOFTOP	737.8867059	9.726688396	2081.43	30	1.0	0.0	1.0	0.0	0.0
SA-BN	PV_UTILITY	882.2095856	23.95327618	2081.43	30	1.0	0.0	1.0	3e-05	Infinity
SA-BN	PT_COLLECTOR	4504.71429	62.65	0.0	25	1.0	0.0	1.0	0.0	0.0
SA-BN	ST_COLLECTOR	5517.02	63.0	0.0	25	1.0	0.0	1.0	0.0	0.0
SA-BN	PT_POWER_BLOCK	1044.57	62.65	0.0	25	1.0	0.0	1.0	0.0	0.0
SA-BN	ST_POWER_BLOCK	768.19	63.0	0.0	25	1.0	0.0	1.0	0.0	0.0
SA-BN	WIND_ONSHORE	1518.10545	23.38311669	622.85	30	1.0	0.0	1.0	0.0	0.0
SA-BN	WIND_OFFSHORE	4974.63	36.31492615	622.85	30	1.0	0.0	1.0	0.0	0.0
SA-BN	HYDRO_DAM	2206.3	22.063	1262.82	100	1.0	0.0	1.0	0.0	0.0
SA-BN	HYDRO_RIVER	2000.264	20.003	1262.82	100	1.0	0.0	1.0	0.0	0.0
SA-BN	TIDAL_STREAM	3752.0	165.0	0.0	20	1.0	0.0	1.0	0.0	0.0
SA-BN	TIDAL_RANGE	2867.0	178.0	0.0	40	1.0	0.0	1.0	0.0	0.0
SA-BN	WAVE	2912.5	97.4107	0.0	25	0.3995	0.0	1.0	0.0	0.0
SA-BN	GEOTHERMAL	3534.122231	88.35304846	24929.09	50	0.914	0.0	1.0	0.0	0.0
SA-BN	GENSET_DIESEL	384.6	5.769001632	516.55	30	1.0	0.0	1.0	0.00279	Infinity
SA-BN	OCGT	915.1514369	22.87878592	183.79	30	0.85	0.0	1.0	0.0	0.0
SA-BN	CCGT	1217.490356	18.26220742	183.79	30	0.85	0.0	1.0	0.0	0.0
SA-BN	ST_BIOMASS	1668.197284	38.69471802	165.33	30	0.868	0.0	1.0	0.0	0.0
SA-BN	ST_SNG	954.2088467	14.31304758	1024.32	30	0.868	0.0	1.0	0.0	0.0
SA-BN	CCGT_SUR	1217.490356	18.26220742	183.79	30	0.85	0.0	1.0	0.0	0.0
SA-BN	IND_COGEN_GAS	1484.44	95.41808193	1024.32	25	0.8449	0.0	1.0	0.0	0.0
SA-BN	IND_COGEN_WOOD	1139.44	41.71767303	165.33	25	0.8449	0.0	1.0	0.0	0.0
SA-BN	IND_COGEN_WASTE	3101.3	114.3299681	647.82	25	0.8449	0.0	1.0	0.0	0.0
SA-BN	IND_BOILER_GAS	64.78	1.297874333	12.32	17	0.9443	0.0	1.0	0.0	0.0
SA-BN	IND_BOILER_WOOD	126.7	2.533945126	28.87	17	0.8946	0.0	1.0	0.0	Infinity
SA-BN	IND_BOILER_BIOWASTE	126.7	2.533945126	28.87	17	0.8946	0.0	1.0	0.0	0.0
SA-BN	IND_BOILER_OIL	60.34	1.297874333	12.32	17	0.9443	0.0	1.0	0.0	0.0
SA-BN	IND_BOILER_COAL	126.7	2.533945126	48.18	17	0.8946	0.0	1.0	0.0	0.0
SA-BN	IND_BOILER_WASTE	126.7	2.533945126	28.87	17	0.8946	0.0	1.0	0.0	0.0
SA-BN	IND_DIRECT_ELEC	360.04	1.633267784	1.47	15	0.9443	0.0	1.0	0.0	0.0
SA-BN	DHN_HP_ELEC	395.73	13.41870073	174.79	25	0.9443	0.0	1.0	0.0	0.0
SA-BN	DHN_COGEN_GAS	1361.46	39.80624675	490.88	25	0.8449	0.0	1.0	0.0	0.0
SA-BN	DHN_COGEN_WOOD	1172.95	42.94466341	165.33	25	0.8449	0.0	1.0	0.0	0.0
SA-BN	DHN_COGEN_WASTE	3182.91	117.3386515	647.82	25	0.8449	0.0	1.0	0.0	0.0
SA-BN	DHN_BOILER_GAS	70.67	1.415862909	12.32	17	0.9443	0.0	1.0	0.0	Infinity
