Technologies param;c_p;fmin_perc;fmax_perc;f_min;f_max
NUCLEAR;0.843906;0;1;0;0
NUCLEAR_SMR;0.843906;0;1;0;0
CCGT_AMMONIA;0.9615;0;1;0;0
COAL_US;0.865396;0;1;0;0
COAL_IGCC;0.853432;0;1;0;0
BIOMASS_TO_POWER;0.868;0;1;0;0
PV_ROOFTOP;1;0;1;0;0
PV_UTILITY;1;0;1;0.165017;40000
PT_COLLECTOR;1;0;1;0;0
ST_COLLECTOR;1;0;1;0;0
PT_POWER_BLOCK;1;0;1;0;0
ST_POWER_BLOCK;1;0;1;0;0
WIND_ONSHORE;1;0;1;0.1728;260
WIND_OFFSHORE;1;0;1;0;0
HYDRO_DAM;1;0;1;0.37192;0.37192148
HYDRO_RIVER;1;0;1;0.36372;0.36372
TIDAL_STREAM;1;0;1;0;0
TIDAL_RANGE;1;0;1;0;0
WAVE;0.3995;0;1;0;0
GEOTHERMAL;0.914;0;1;0.055;0.055
GENSET_DIESEL;0.248287016;0;1;0.04272;0.04273
OCGT;0.123207004;0;1;0.95801;0.95802
CCGT;0.408081032;0;1;1.49249;1.49249
ST_BIOMASS;0.409994599;0;1;0.22563;2.45324541
ST_SNG;0.409994599;0;1;0;0
CCGT_SUR;0.85;0;1;0;0
IND_COGEN_GAS;0.8449;0;1;0;0
IND_COGEN_WOOD;0.8449;0;1;0;0
IND_COGEN_WASTE;0.8449;0;1;0;0
IND_BOILER_GAS;0.9443;0;1;1.124939;1.00E+15
IND_BOILER_WOOD;0.8946;0;1;0.622539;0.62254
IND_BOILER_BIOWASTE;0.8946;0;1;0;0
IND_BOILER_OIL;0.9443;0;1;0.002869;0.00287
IND_BOILER_COAL;0.8946;0;1;0;0
IND_BOILER_WASTE;0.8946;0;1;0;0
IND_DIRECT_ELEC;0.9443;0;1;0;1.00E+15
DHN_HP_ELEC;0.9443;0;1;0;0
DHN_COGEN_GAS;0.8449;0;1;0;0
DHN_COGEN_WOOD;0.8449;0;1;0;0
DHN_COGEN_WASTE;0.8449;0;1;0;0
DHN_BOILER_GAS;0.9443;0;1;0;0
DHN_BOILER_WOOD;0.8946;0;1;0;0
DHN_BOILER_OIL;0.9443;0;1;0;0
DHN_DEEP_GEO;0.8449;0;1;0;0
DHN_SOLAR;1;0;1;0;0
DEC_HP_ELEC;1;0;1;0;0
DEC_THHP_GAS;1;0;1;0;0
DEC_COGEN_GAS;1;0;1;0;0
DEC_COGEN_OIL;1;0;1;0;0
DEC_ADVCOGEN_GAS;1;0;1;0;0
DEC_ADVCOGEN_H2;1;0;1;0;0
DEC_BOILER_GAS;1;0;1;0.193009;1.00E+15
DEC_BOILER_WOOD;1;0;1;0;0
DEC_BOILER_OIL;1;0;1;0;0
DEC_SOLAR;1;0;1;0.007739;48700
DEC_DIRECT_ELEC;1;0;1;0.271781;1.00E+15
DEC_ELEC_COLD;1;0;1;0;1.00E+15
DEC_THHP_GAS_COLD;1;0;1;0;0
IND_ELEC_COLD;0.95;0;1;0;1.00E+15
TRAMWAY_TROLLEY;0.342465753;0;1;0.117597;1.00E+15
BUS_COACH_DIESEL;0.483722222;0;1;0;0
BUS_COACH_HYDIESEL;0.483722222;0;1;0;1.00E+15
BUS_COACH_CNG_STOICH;0.483722222;0;1;0;0
BUS_COACH_FC_HYBRIDH2;0.483722222;0;1;0;1.00E+15
TRAIN_PUB;0.275072894;0;1;0;1.00E+15
PLANE_SHORT_HAUL;0.4999;0;1;0;0
PLANE_H2_SHORT_HAUL;0.4999;0;1;0;0
PLANE_LONG_HAUL;0.5374;0;1;0;0
CAR_GASOLINE;0.1343125;0;1;0;0
CAR_DIESEL;0.1343125;0;1;0;0
CAR_NG;0.1343125;0;1;0;0
CAR_METHANOL;0.1343125;0;1;0;0
CAR_HEV;0.1343125;0;1;0;0
CAR_PHEV;0.1343125;0;1;0;0
CAR_BEV;0.1343125;0;1;0.364766;1.00E+15
CAR_FUEL_CELL;0.1343125;0;1;0;1.00E+15
TRAIN_FREIGHT;0.342465753;0;1;0;1.00E+15
BOAT_FREIGHT_DIESEL;0.114155251;0;1;0.055345;1.00E+15
BOAT_FREIGHT_NG;0.114155251;0;1;0;1.00E+15
BOAT_FREIGHT_METHANOL;0.114155251;0;1;0;0
CARGO_LFO;0.739666854;0;1;0;0
CARGO_LNG;0.739666854;0;1;0;0
CARGO_METHANOL;0.739666854;0;1;0;0
CARGO_AMMONIA;0.739666854;0;1;0;0
CARGO_FUELCELL_LH2;0.739666854;0;1;0;0
CARGO_FUELCELL_AMMONIA;0.739666854;0;1;0;0
CARGO_RETRO_METHANOL;0.739666854;0;1;0;0
CARGO_RETRO_AMMONIA;0.739666854;0;1;0;0
TRUCK_DIESEL;0.01805556;0;1;0;0
TRUCK_METHANOL;0.01805556;0;1;0;0
TRUCK_FUEL_CELL;0.01805556;0;1;0;1.00E+15
TRUCK_ELEC;0.01805556;0;1;0;1.00E+15
TRUCK_NG;0.01805556;0;1;0;0
EFFICIENCY;1;0;1;0;1.00E+15
DHN;1;0;1;0;0
GRID;1;0;1;0;1.00E+15
HVAC_LINE;1;0;1;0;1.00E+15
HVDC_SUBSEA;1;0;1;0;1.00E+15
GAS_PIPELINE;1;0;1;0;1.00E+15
GAS_SUBSEA;1;0;1;0;1.00E+15
H2_RETROFITTED;1;0;1;0;1.00E+15
H2_NEW;1;0;1;0;1.00E+15
H2_SUBSEA_RETRO;1;0;1;0;1.00E+15
H2_SUBSEA_NEW;1;0;1;0;1.00E+15
H2_ELECTROLYSIS;0.8946;0;1;0;1.00E+15
H2_NG;0.85484;0;1;0;1.00E+15
H2_BIOMASS;0.85484;0;1;0;1.00E+15
BIOMASS_TO_METHANE;0.85;0;1;0;1.00E+15
BIOWASTE_TO_METHANE;0.85;0;1;0;1.00E+15
SYN_METHANATION;1;0;1;0;1.00E+15
BIOMETHANATION_WET_BIOMASS;0.8449;0;1;0;0
BIOMETHANATION_BIOWASTE;0.8449;0;1;0;1.00E+15
BIOMASS_TO_GASOLINE;0.91;0;1;0;1.00E+15
BIOMASS_TO_DIESEL;0.91;0;1;0;1.00E+15
BIOMASS_TO_JET_FUEL;0.91;0;1;0;1.00E+15
BIOMASS_TO_LFO;0.91;0;1;0;0
BIOWASTE_TO_GASOLINE;0.91;0;1;0;1.00E+15
BIOWASTE_TO_DIESEL;0.91;0;1;0;1.00E+15
BIOWASTE_TO_JET_FUEL;0.91;0;1;0;1.00E+15
BIOWASTE_TO_LFO;0.91;0;1;0;0
DIESEL_TO_JET_FUEL;1;0;1;0;0
ATM_CCS;1;0;1;0;1.00E+15
INDUSTRY_CCS;1;0;1;0;1.00E+15
SYN_METHANOLATION;0.9443;0;1;0;0
METHANE_TO_METHANOL;0.8449;0;1;0;0
BIOMASS_TO_METHANOL;0.994;0;1;0;0
BIOWASTE_TO_METHANOL;1;0;1;0;0
HABER_BOSCH;0.994;0;1;0;0
POWER_TO_GASOLINE;0.91;0;1;0;1.00E+15
POWER_TO_DIESEL;0.91;0;1;0;1.00E+15
POWER_TO_JET_FUEL;0.91;0;1;0;1.00E+15
POWER_TO_LFO;0.91;0;1;0;0
H2_TO_GASOLINE;0.91;0;1;0;1.00E+15
H2_TO_DIESEL;0.91;0;1;0;1.00E+15
H2_TO_JET_FUEL;0.91;0;1;0;1.00E+15
H2_TO_LFO;0.91;0;1;0;0
AMMONIA_TO_H2;0.994;0;1;0;0
OIL_TO_HVC;0.994;0;1;0.01371;1.00E+15
GAS_TO_HVC;0.994;0;1;0.081034;1.00E+15
BIOMASS_TO_HVC;0.994;0;1;0;0
METHANOL_TO_HVC;1;0;1;0;0
